,tool,benchmark,shapiro_statistic,p_value,normal,n_samples
0,CC,bt,0.7709096152204509,0.0015939206563485963,False,15
1,CC,cg,0.8914489952742006,0.0705331671414712,True,15
2,CC,ep,0.658172689449191,9.182722491886878e-05,False,15
3,CC,ft,0.9343869655210877,0.3169898168753465,True,15
4,CC,is,0.6563908374488312,8.814163801438763e-05,False,15
5,CC,mg,0.9298624100827785,0.2715872872355706,True,15
6,CC,mi,0.7267045225331287,0.00048693190638255334,False,15
7,CC,sl,0.9779825830435889,0.9538580771578445,True,15
8,No_Tools,bt,0.9311387778917558,0.2837638337655549,True,15
9,No_Tools,cg,0.9473154626042379,0.48320660701133206,True,15
10,No_Tools,ep,0.7322074635452904,0.0005615148187856887,False,15
11,No_Tools,ft,0.9769204913062633,0.94411598021292,True,15
12,No_Tools,is,0.9428136514089083,0.41907097193126763,True,15
13,No_Tools,mg,0.7892623931729907,0.0026857274446483144,False,15
14,No_Tools,mi,0.7061491664663486,0.0002893608418751093,False,15
15,No_Tools,sl,0.9235423758063844,0.21809094861403916,True,15
16,PJ,bt,0.9031575126082771,0.10636374861954906,True,15
17,PJ,cg,0.943653745329045,0.43053946957475,True,15
18,PJ,ep,0.9210319315723965,0.19973941241353615,True,15
19,PJ,ft,0.9759404443492016,0.9342287095374748,True,15
20,PJ,is,0.9607172231463125,0.7048627848387663,True,15
21,PJ,mg,0.8701230850745174,0.03388162249738608,False,15
22,PJ,mi,0.7809551112535201,0.0021159600978483536,False,15
23,PJ,sl,0.949946048053098,0.5236016394866227,True,15
24,Perf,bt,0.950962858235834,0.5397427750590993,True,15
25,Perf,cg,0.9658463300765562,0.7925096232248234,True,15
26,Perf,ep,0.5833144536908804,1.796929737884589e-05,False,15
27,Perf,ft,0.94259483392114,0.41612217092837683,True,15
28,Perf,is,0.9437965272770048,0.4325118153914518,True,15
29,Perf,mg,0.8946279017994092,0.07882081432293052,True,15
30,Perf,mi,0.7253214128071866,0.00046990053233285855,False,15
31,Perf,sl,0.9109891478445317,0.1402224871931123,True,15
32,Ref_Kern,bt,0.820669292784343,0.006856521765632521,False,15
33,Ref_Kern,cg,0.8858234225507197,0.058003062736638564,True,15
34,Ref_Kern,ep,0.7413759153130122,0.0007142213680926862,False,15
35,Ref_Kern,ft,0.8513059466938373,0.018122099610121213,False,15
36,Ref_Kern,is,0.923319490788516,0.21639863870575204,True,15
37,Ref_Kern,mg,0.9164568007907337,0.17005680113316535,True,15
38,Ref_Kern,mi,0.8246512506053643,0.007754209299479828,False,15
39,Ref_Kern,sl,0.8093134382034546,0.0048530519603043115,False,15
40,Ref_User,bt,0.9626015210807541,0.7375002585377627,True,15
41,Ref_User,cg,0.9689611487319321,0.8423816759866045,True,15
42,Ref_User,ep,0.8151874948098681,0.0057973605326002275,False,15
43,Ref_User,ft,0.9865726620022991,0.9961110114451347,True,15
44,Ref_User,is,0.9030125080753151,0.10582162796470634,True,15
45,Ref_User,mg,0.8630994761014825,0.026757495795724562,False,15
46,Ref_User,mi,0.7748647073709193,0.001780859087392692,False,15
47,Ref_User,sl,0.9740468500918454,0.9128013980159757,True,15
48,Scaphandre,bt,0.9604631794639115,0.7004479318004485,True,15
49,Scaphandre,cg,0.9667807714247909,0.8078567738264045,True,15
50,Scaphandre,ep,0.3875553308130275,4.944335952402837e-07,False,15
51,Scaphandre,ft,0.8800694615702014,0.04755864780503032,False,15
52,Scaphandre,is,0.9722666971561198,0.8900891780973104,True,15
53,Scaphandre,mg,0.9081063236528055,0.12665231227241908,True,15
54,Scaphandre,mi,0.7421453937725899,0.0007289186555903588,False,15
55,Scaphandre,sl,0.9524068077694001,0.5631252926720589,True,15
56,Turbostat,bt,0.9542282627210531,0.5933131656471288,True,15
57,Turbostat,cg,0.9349876866653447,0.32349701594216496,True,15
58,Turbostat,ep,0.9405736434299854,0.3896383431651127,True,15
59,Turbostat,ft,0.9390575750001593,0.3706678175786806,True,15
60,Turbostat,is,0.920231862802183,0.19420912787153938,True,15
61,Turbostat,mg,0.8745911722686608,0.03942993954701648,False,15
62,Turbostat,mi,0.788714712143849,0.0026435257950778784,False,15
63,Turbostat,sl,0.973480296269187,0.9058289803407503,True,15
